displayName	assetPath	previewPath	prefabName	category	colorNotes	materialSummary	prompt
Mystic Talisman	Assets/Game/Data/Items/Weapons/Caster Weapons/Mystic Talisman.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Mystic Talisman.png		Focus	Match the exact color blocking visible in the prefab reference.		"Create a single game inventory icon PNG of 'Mystic Talisman'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Match the exact color blocking visible in the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Broadsword	Assets/Game/Data/Items/Weapons/Melee Weapons/Broadsword.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Broadsword.png	Weapon_Broad_Sword_01	Sword	Overall palette reads as gray. Keep these same flat color families in the same visible places as the prefab reference.	blade: gray	"Create a single game inventory icon PNG of 'Broadsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as gray. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Knight Shield	Assets/Game/Data/Items/Weapons/Melee Weapons/Knight Shield.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Knight Shield.png	Weapon_Medium_Shield_01	Shield	Overall palette reads as off-white. Keep these same flat color families in the same visible places as the prefab reference.	shield face: off-white	"Create a single game inventory icon PNG of 'Knight Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as off-white. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Axe.png	Weapon_Dungeon_Axe_01	Axe	"Overall palette reads as palette of brown, dark yellow, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, dark yellow, dark gold"	"Create a single game inventory icon PNG of 'Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark yellow, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Bladed Mace	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bladed Mace.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Bladed Mace.png	Weapon_Dungeon_Mace_Blades_01	Blunt	"Overall palette reads as palette of brown, dark yellow, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, dark yellow, dark orange"	"Create a single game inventory icon PNG of 'Bladed Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark yellow, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Bone Club 01	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 01.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Club 01.png	Weapon_Dungeon_Bone_01	Polearm	Overall palette reads as brown. Keep these same flat color families in the same visible places as the prefab reference.	shaft: brown	"Create a single game inventory icon PNG of 'Bone Club 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Bone Club 02	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 02.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Club 02.png	Weapon_Dungeon_Bone_02	Polearm	Overall palette reads as brown. Keep these same flat color families in the same visible places as the prefab reference.	shaft: brown	"Create a single game inventory icon PNG of 'Bone Club 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Bone Goblin Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Goblin Axe.png	Weapon_Dungeon_Goblin_Bone_Axe_01	Axe	"Overall palette reads as palette of red, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of red, dark gold, brown"	"Create a single game inventory icon PNG of 'Bone Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of red, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Bone Goblin Shiv	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Shiv.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Goblin Shiv.png	Weapon_Dungeon_Goblin_Shiv_Bone_01	Dagger	"Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, dark gold, dark orange"	"Create a single game inventory icon PNG of 'Bone Goblin Shiv'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Bone Shield	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Shield.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Shield.png	Weapon_Dungeon_Shield_Bone_01	Shield	"Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of brown, red, dark orange"	"Create a single game inventory icon PNG of 'Bone Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Broken Sword	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Broken Sword.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Broken Sword.png	Weapon_Dungeon_BrokenSword_01	Sword	"Overall palette reads as palette of brown, dark orange, dark yellow. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, dark orange, dark yellow"	"Create a single game inventory icon PNG of 'Broken Sword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark orange, dark yellow. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
