"name","assetPath","previewPath","weaponClass","weaponModelType","promptCategory","colorNotes","prompt"
"Mystic Talisman","Assets/Game/Data/Items/Weapons/Caster Weapons/Mystic Talisman.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Mystic Talisman.png","Fist","Weapon","focus","Match the exact color blocking visible in the reference preview.","Create a single game inventory icon PNG of 'Mystic Talisman'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Match the exact color blocking visible in the reference preview. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Broadsword","Assets/Game/Data/Items/Weapons/Melee Weapons/Broadsword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Broadsword.png","StraightSword","Weapon","sword","Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Broadsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Knight Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Knight Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Knight Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as brown-gray and brown-gray; major face zones read as brown-gray and brown-gray; center mass or emblem area reads as brown-gray.","Create a single game inventory icon PNG of 'Knight Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as brown-gray and brown-gray; major face zones read as brown-gray and brown-gray; center mass or emblem area reads as brown-gray. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Axe.png","StraightSword","Weapon","axe","Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal.","Create a single game inventory icon PNG of 'Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Bladed Mace","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bladed Mace.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bladed Mace.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Bladed Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Bone Club 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Club 01.png","Spear","Weapon","polearm","Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal.","Create a single game inventory icon PNG of 'Bone Club 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Bone Club 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Club 02.png","Spear","Weapon","polearm","Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal.","Create a single game inventory icon PNG of 'Bone Club 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Bone Goblin Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Goblin Axe.png","StraightSword","Weapon","axe","Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal.","Create a single game inventory icon PNG of 'Bone Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Bone Goblin Shiv","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Shiv.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Goblin Shiv.png","StraightSword","Weapon","dagger","Color map: blade tip is charcoal; blade body is charcoal; guard is charcoal; grip is charcoal; pommel is charcoal.","Create a single game inventory icon PNG of 'Bone Goblin Shiv'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade tip is charcoal; blade body is charcoal; guard is charcoal; grip is charcoal; pommel is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Bone Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Bone Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Bone Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
