assetPath,displayName,prefabName,category,colorNotes,prompt
"Assets/Game/Data/Items/Weapons/Caster Weapons/Mystic Talisman.asset","Mystic Talisman","","Focus","Match the exact color blocking visible in the prefab reference.","Create a single game inventory icon PNG of 'Mystic Talisman'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Match the exact color blocking visible in the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Broadsword.asset","Broadsword","Weapon_Broad_Sword_01","Sword","Overall palette reads as gray. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Broadsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as gray. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Knight Shield.asset","Knight Shield","Weapon_Medium_Shield_01","Shield","Overall palette reads as off-white. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Knight Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as off-white. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Axe.asset","Axe","Weapon_Dungeon_Axe_01","Axe","Overall palette reads as palette of brown, dark yellow, dark gold. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark yellow, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bladed Mace.asset","Bladed Mace","Weapon_Dungeon_Mace_Blades_01","Blunt","Overall palette reads as palette of brown, dark yellow, dark orange. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Bladed Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark yellow, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 01.asset","Bone Club 01","Weapon_Dungeon_Bone_01","Polearm","Overall palette reads as brown. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Bone Club 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Club 02.asset","Bone Club 02","Weapon_Dungeon_Bone_02","Polearm","Overall palette reads as brown. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Bone Club 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Axe.asset","Bone Goblin Axe","Weapon_Dungeon_Goblin_Bone_Axe_01","Axe","Overall palette reads as palette of red, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Bone Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of red, dark gold, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Goblin Shiv.asset","Bone Goblin Shiv","Weapon_Dungeon_Goblin_Shiv_Bone_01","Dagger","Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Bone Goblin Shiv'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Bone Shield.asset","Bone Shield","Weapon_Dungeon_Shield_Bone_01","Shield","Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference.","Create a single game inventory icon PNG of 'Bone Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
